file,line,column,function,value,context,interpretation
python/a100_device_gate.py,415,11,_record_gate,0,return 0,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,125,20,_select_smi_row,1,if len(rows) == 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,447,15,main,0,return 0,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,68,26,_nvidia_smi_rows,5,if len(fields) != 5:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,109,25,_select_smi_row,1,if len(exact) == 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,113,25,_select_smi_row,1,if len(exact) == 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,123,25,_select_smi_row,1,if len(exact) == 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,126,20,_select_smi_row,0,return rows[0],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,128,41,_select_smi_row,1024.0,expected_mib = total_memory_bytes / (1024.0 * 1024.0),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,128,50,_select_smi_row,1024.0,expected_mib = total_memory_bytes / (1024.0 * 1024.0),원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,136,43,_select_smi_row,1,return matching[0] if len(matching) == 1 else None,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,136,20,_select_smi_row,0,return matching[0] if len(matching) == 1 else None,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,250,23,collect_device_report,4,"return report, 4",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,413,43,_record_gate,0,elif int(args.launcher_exit_status) == 0:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,58,20,_nvidia_smi_rows,30,"timeout=30,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,110,25,_select_smi_row,0,return exact[0],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,114,25,_select_smi_row,0,return exact[0],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,124,25,_select_smi_row,0,return exact[0],원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,153,50,collect_device_report,0,"""python_version"": sys.version.split()[0],",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,160,27,collect_device_report,2,"return report, 2",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,163,27,collect_device_report,2,"return report, 2",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,199,32,collect_device_report,1,if len(versions) == 1:,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,220,42,collect_device_report,8,"capability_match = capability == [8, 0]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,220,45,collect_device_report,0,"capability_match = capability == [8, 0]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,233,27,collect_device_report,3,"return report, 3",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,237,27,collect_device_report,0,"return report, 0",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,245,27,collect_device_report,0,"return report, 0",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,253,23,collect_device_report,2,"return report, 2",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,400,87,_record_gate,0,"""production_run_completed_successfully"": int(args.launcher_exit_status) == 0,",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,458,25,<module>,2,raise SystemExit(2) from None,원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,30,52,_write_json,2,"temporary.write_text(json.dumps(payload, indent=2, sort_keys=True) + ""\n"", encoding=""utf-8"")",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,67,61,_nvidia_smi_rows,4,"fields = [field.strip() for field in line.split("","", 4)]",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,134,66,_select_smi_row,256.0,"and abs(float(row[""memory_total_MiB""]) - expected_mib) <= 256.0",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
python/a100_device_gate.py,442,40,main,2,"print(json.dumps(report, indent=2, sort_keys=True))",원시 수치 리터럴; nominal 물성으로 자동 분류하지 않음
