group,key,value,units,classification,declared_source,source,qualification
초기조건/기하 입력,composition.masses_g.LP,11.053,g,운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:13,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.masses_g.water,20.447000000000003,g,운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:14,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.masses_g.PVA,3.15,g,운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:15,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.masses_g.glycerol,0.0,g,운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:16,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.masses_g.boric_acid,0.35000000000000003,g,운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:17,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.retained_water_fraction,1.0,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:18,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.density_mode,"""additive_volume_estimate""",kg/m³,모델 선택/가정,,config/default_lp_pva.yaml:19,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.mixture_density_kg_per_m3,1261.36,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:20,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.calibration_required,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:21,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.molar_masses_g_per_mol.LP,106.39,g/mol,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:23,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.molar_masses_g_per_mol.water,18.01528,g/mol,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:24,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.molar_masses_g_per_mol.PVA_repeat,44.0526,g/mol,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:25,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.molar_masses_g_per_mol.glycerol,92.09382,g/mol,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:26,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.molar_masses_g_per_mol.boric_acid,61.83,g/mol,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:27,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.component_densities_kg_per_m3.LP,2430.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:29,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.component_densities_kg_per_m3.water,997.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:30,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.component_densities_kg_per_m3.PVA,1269.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:31,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.component_densities_kg_per_m3.glycerol,1260.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:32,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.component_densities_kg_per_m3.boric_acid,1435.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:33,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.retained_water_fraction_basis,"""literature_nominal_uncalibrated_3rd_paper_low_temperature_TGA_loss""",키 정의 확인(주로 무차원),출처/의미/상태 메타데이터,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:34,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.retained_water_measurement_id,null,키/정의 참조,출처/의미/상태 메타데이터,,config/default_lp_pva.yaml:35,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.requireMeasuredRetainedWater,false,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:36,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.cured_water_mass_fraction,0.2,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: python/ecsp_nsga2/evaluator.py: 파생/override; resolved_bc_production_physics.json,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,composition.cured_water_mass_fraction_basis,"""literature_nominal_uncalibrated_3rd_paper_low_temperature_TGA_loss""",키 정의 확인(주로 무차원),출처/의미/상태 메타데이터,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: python/ecsp_nsga2/evaluator.py: 파생/override; resolved_bc_production_physics.json,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maskSize,64,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:38,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,geometry.domainSize_m,0.02,m,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:39,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,geometry.surfaceLayerThickness_m,0.001,m,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:40,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumWidthPixels,2,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:41,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumGapPixels,3,키/정의 참조,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:42,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumObjectPixels,4,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:43,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumAreaFractionPerPolarity,0.17,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:44,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maximumTotalElectrodeAreaFraction,0.36,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:45,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maximumAreaImbalanceFraction,0.0,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:46,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maximumComponentsPerPolarity,3,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:47,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumBorderMarginPixels,1,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:48,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
초기조건/기하 입력,geometry.minimumElectrodeGap_m,0.0005,m,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:49,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.rejectResizeShorts,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:50,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maximumTotalComponents,4,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:51,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.targetTotalElectrodeAreaFraction,0.35,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:52,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.targetAnodeShareOfElectrodeArea,0.5,키/정의 참조,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:53,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.enforceEqualPolarityArea,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:54,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.enforceFixedTotalElectrodeArea,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:55,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.fixedAreaTolerancePixels,0,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:56,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumCornerRadiusPixels,1,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:57,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.minimumCornerRadius_m,0.00025,m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:58,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.maximumCornerRoundingChangeFraction,0.01,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:59,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.generatorMode,"""cad_quantized_ar_latent_diffusion""",키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:60,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.electrodeMaskSemantics,"""surface_contact_overlay_not_material_removal""",키/정의 참조,기타 입력,,config/default_lp_pva.yaml:61,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.propellantDomainFraction,1.0,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:62,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
공통 저장 설정; 새 NSGA 경로 활성 미주장,geometry.targetAreaFractionPerPolarity,0.175,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:63,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.gridSize,257,키/정의 참조,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:274,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.appliedVoltage_V,260.0,V,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:275,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.cathodeVoltage_V,0.0,V,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:276,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.initialTemperature_K,298.15,K,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:277,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.omega,1.72,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:278,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.maximumIterations,3000,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:279,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.tolerance_V,1e-08,V,수치 설정/제한,,config/default_lp_pva.yaml:280,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.diffusionPotentialEnabled,true,키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:281,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.jouleHeatModel,"""conductive_sigma_E2""",키/정의 참조,모델 선택/가정,,config/default_lp_pva.yaml:282,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성(전자전도 OFF),electrical.electronicConductivity0_S_per_m,0.0,S/m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:283,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성(전자전도 OFF),electrical.electronicConductivityTemperatureCoefficient_per_K,0.0,S/m 또는 W/(m K): 키 문맥,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:284,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성(전자전도 OFF),electrical.electronicLiquidSuppression,0.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:285,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.conductivityMinimum_S_per_m,0.0001,S/m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:286,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.conductivityMaximum_S_per_m,0.5,S/m,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:287,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 전도/수치 입력,electrical.lowCurrentThresholdFraction,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:288,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
