file,lines,bytes,functions,is_test,sha256
python/a100_device_gate.py,458,19763,10,False,036c09ad01e0cd243b744c6999b465e23b4dbb16df8894e598b69b3c01fbc6d0
python/audit_v800_preservation.py,51,3448,2,False,3f72c261889767aa9b712d02636e2e6612c98d9b1a6e565094e481b19dc90ee0
python/audit_v810_preservation.py,493,18185,8,False,0702d9e0f3044f7e93e28169e3afe35386b94230c42ba2ab62a1b21d3fc8c86e
python/audit_v820_preservation.py,493,18195,8,False,a7be6dacf1e973357dc72c4a04481d6088e04924fefb02347ec1715567a69f7b
python/benchmark_bc_native_batches.py,86,5879,2,False,bfd20f041dbca01ff77d2eb5888944f276568ce1c254434645ef9a5043bd340f
python/benchmark_reactive_backends.py,81,5156,1,False,efa0d090948b38b7c93e15fb0a34f16e90e0261124967f3f417592095cfd00d3
python/check_bc_native_cuda.py,46,2957,1,False,ea0ae7909fd2988f1e7734dda331d02536fa52719b9eda5be8fa0f4a43a5c3b3
python/compare_bc_native_python.py,64,4967,1,False,18e92ae86101df9e67015c24da45287146d54322231d26aeb14b3e15cfc52251
python/compare_cpp_python_fp64.py,208,7119,2,False,fc06181748a143f7849c7dc29679f3366cb2b91aeffaae77b73c861782d0fde4
python/compare_cpu_mps_validation.py,173,7157,3,False,e1115446b03dbbb9f9292ea2ae61ac13813815320ef24875e17d450177ecc497
python/ecsp_cpp/__init__.py,4,217,0,False,5770aac64959c1b9def1d94f7947bcd91d9bcdec9f2b4a6c1b7da890385bcf92
python/ecsp_cpp/backend.py,360,17470,11,False,927aa1401c5194c3d4c3bf941789595b5a13d014916dba32ea364c9844d951fd
python/ecsp_cuda/__init__.py,3,175,0,False,dcf050cda9736514d4540ea699b3ff903c38a94173861da620f228b0e75133f2
python/ecsp_cuda/solver.py,1247,65475,39,False,3d85c40c0b001d70f47afda3f4bd4f4a2b7d9214b417918e0329bfb062209c23
python/ecsp_native/__init__.py,4,225,0,False,0e4147b7f1daf8bf14c84d4a7cc14624075de9c96e3a62ba265ee7879e137b5b
python/ecsp_native/adapter.py,506,37199,12,False,138d721a2ffb7017db1d5df1427c8e423002e201edfd995564aceda381ad8016
python/ecsp_native/loader.py,62,3509,3,False,a4f727b6c9c3532417012c15f53ef80f1124e084282a1e8ceea00973b4f01933
