file,line,end_line,function,is_test
python/a100_device_gate.py,23,24,_utc_now,False
python/a100_device_gate.py,27,31,_write_json,False
python/a100_device_gate.py,34,40,_cuda_visible_selector,False
python/a100_device_gate.py,43,86,_nvidia_smi_rows,False
python/a100_device_gate.py,89,136,_select_smi_row,False
python/a100_device_gate.py,139,253,collect_device_report,False
python/a100_device_gate.py,256,337,_load_preflight,False
python/a100_device_gate.py,340,358,_minimal_runtime_device_identity,False
python/a100_device_gate.py,361,415,_record_gate,False
python/a100_device_gate.py,418,450,main,False
python/audit_v800_preservation.py,7,7,sha,False
python/audit_v800_preservation.py,8,50,main,False
python/audit_v810_preservation.py,36,37,_sha256_bytes,False
python/audit_v810_preservation.py,40,45,_sha256_file,False
python/audit_v810_preservation.py,48,59,_included,False
python/audit_v810_preservation.py,62,74,_load_mapping,False
python/audit_v810_preservation.py,77,105,_baseline_zip_files,False
python/audit_v810_preservation.py,108,345,audit,False
python/audit_v810_preservation.py,348,424,_write_report,False
python/audit_v810_preservation.py,427,489,main,False
python/audit_v820_preservation.py,36,37,_sha256_bytes,False
python/audit_v820_preservation.py,40,45,_sha256_file,False
python/audit_v820_preservation.py,48,59,_included,False
python/audit_v820_preservation.py,62,74,_load_mapping,False
python/audit_v820_preservation.py,77,105,_baseline_zip_files,False
python/audit_v820_preservation.py,108,345,audit,False
python/audit_v820_preservation.py,348,424,_write_report,False
python/audit_v820_preservation.py,427,489,main,False
python/benchmark_bc_native_batches.py,15,18,benchmark_items,False
python/benchmark_bc_native_batches.py,20,85,main,False
python/benchmark_reactive_backends.py,19,79,main,False
python/check_bc_native_cuda.py,10,45,main,False
python/compare_bc_native_python.py,12,63,main,False
python/compare_cpp_python_fp64.py,37,64,_run,False
python/compare_cpp_python_fp64.py,67,204,main,False
python/compare_cpu_mps_validation.py,20,43,_pareto_ids,False
python/compare_cpu_mps_validation.py,46,53,_safe_spearman,False
python/compare_cpu_mps_validation.py,56,169,main,False
python/ecsp_cpp/backend.py,24,25,_bool_text,False
python/ecsp_cpp/backend.py,28,39,write_mask_binary,False
python/ecsp_cpp/backend.py,42,56,_channel_values,False
python/ecsp_cpp/backend.py,59,236,serialise_cpp_config,False
python/ecsp_cpp/backend.py,239,248,write_cpp_config,False
python/ecsp_cpp/backend.py,252,258,__init__,False
python/ecsp_cpp/backend.py,260,272,verify,False
python/ecsp_cpp/backend.py,274,303,prepare_case,False
python/ecsp_cpp/backend.py,306,317,launch_prepared_case,False
python/ecsp_cpp/backend.py,320,348,collect_prepared_case,False
python/ecsp_cpp/backend.py,350,360,run_case,False
python/ecsp_cuda/solver.py,40,42,_canonical_numpy_bool_mask,False
python/ecsp_cuda/solver.py,45,54,_strict_json_value,False
python/ecsp_cuda/solver.py,57,60,_same_float,False
python/ecsp_cuda/solver.py,72,104,__init__,False
python/ecsp_cuda/solver.py,106,121,verify,False
python/ecsp_cuda/solver.py,124,143,_validate_common_config,False
python/ecsp_cuda/solver.py,146,160,_channel,False
python/ecsp_cuda/solver.py,162,164,_to_scalar_tensor,False
python/ecsp_cuda/solver.py,166,169,_harmonic,False
python/ecsp_cuda/solver.py,171,172,_sigmoid,False
python/ecsp_cuda/solver.py,174,182,_neumann_edges,False
python/ecsp_cuda/solver.py,184,218,_init_state,False
python/ecsp_cuda/solver.py,220,254,_transport_fields,False
python/ecsp_cuda/solver.py,256,275,_diffusion_rhs,False
python/ecsp_cuda/solver.py,277,317,_build_system,False
python/ecsp_cuda/solver.py,319,328,_apply_A,False
python/ecsp_cuda/solver.py,331,334,_dot,False
python/ecsp_cuda/solver.py,336,422,_solve_pcg,False
python/ecsp_cuda/solver.py,424,431,_activity_gamma,False
python/ecsp_cuda/solver.py,433,442,_eeq,False
python/ecsp_cuda/solver.py,444,485,_channel_eval,False
python/ecsp_cuda/solver.py,487,511,_cell_context,False
python/ecsp_cuda/solver.py,513,604,_solve_faces,False
python/ecsp_cuda/solver.py,606,639,_eval_boundary,False
python/ecsp_cuda/solver.py,641,685,_finish_reaction,False
python/ecsp_cuda/solver.py,687,800,_solve_electrochem,False
python/ecsp_cuda/solver.py,802,812,_gradient,False
python/ecsp_cuda/solver.py,814,837,_compute_current,False
python/ecsp_cuda/solver.py,839,845,_laplacian,False
python/ecsp_cuda/solver.py,847,860,_flux_div_charged,False
python/ecsp_cuda/solver.py,862,871,_flux_div_neutral,False
python/ecsp_cuda/solver.py,873,888,_limited_update,False
python/ecsp_cuda/solver.py,890,929,_update_species,False
python/ecsp_cuda/solver.py,931,949,_update_blocking,False
python/ecsp_cuda/solver.py,951,954,_percentile99,False
python/ecsp_cuda/solver.py,956,1213,_simulate_batch,False
python/ecsp_cuda/solver.py,1215,1247,run_batch,False
python/ecsp_cuda/solver.py,542,552,evaluate,False
python/ecsp_cuda/solver.py,644,649,heat,False
python/ecsp_native/adapter.py,18,26,_native_step_count,False
python/ecsp_native/adapter.py,28,37,_is_time_grid_aligned,False
python/ecsp_native/adapter.py,51,237,pack_config,False
python/ecsp_native/adapter.py,239,251,_canonical_native_bool_mask,False
python/ecsp_native/adapter.py,253,318,run_native_batch,False
python/ecsp_native/adapter.py,320,506,_package,False
python/ecsp_native/adapter.py,40,45,__init__,False
python/ecsp_native/adapter.py,46,49,to_cpu_dicts,False
python/ecsp_native/adapter.py,90,90,floor,False
python/ecsp_native/adapter.py,197,218,prop,False
python/ecsp_native/adapter.py,330,333,evaluation_value,False
python/ecsp_native/adapter.py,334,337,evaluation_peak,False
python/ecsp_native/loader.py,14,26,required_cpp_standard,False
python/ecsp_native/loader.py,28,41,build_info,False
python/ecsp_native/loader.py,44,62,load_native,False
python/ecsp_native/standalone.py,18,30,standalone_build_info,False
python/ecsp_native/standalone.py,32,66,build_standalone,False
python/ecsp_native/standalone.py,68,74,_write_tensor,False
python/ecsp_native/standalone.py,76,79,_read_exact,False
python/ecsp_native/standalone.py,81,92,_read_tensor,False
python/ecsp_native/standalone.py,94,131,run_standalone,False
python/ecsp_nsga2/baselines.py,58,62,_nearest_resize,False
python/ecsp_nsga2/baselines.py,65,67,_component_count,False
python/ecsp_nsga2/baselines.py,70,80,_component_boxes,False
python/ecsp_nsga2/baselines.py,83,86,_minimum_gap_mm,False
python/ecsp_nsga2/baselines.py,89,90,_perimeter,False
python/ecsp_nsga2/baselines.py,93,139,_build_hidden_bus_vertical_staggered_masks,False
python/ecsp_nsga2/baselines.py,142,162,_equal_rectangular_fingers,False
python/ecsp_nsga2/baselines.py,165,173,_vertical_overlap_fraction,False
python/ecsp_nsga2/baselines.py,176,593,generate_area_matched_staggered,False
python/ecsp_nsga2/baselines.py,595,622,write_objective_comparison_csv,False
python/ecsp_nsga2/baselines.py,625,635,_load_font,False
python/ecsp_nsga2/baselines.py,638,686,write_comparison_image,False
python/ecsp_nsga2/baselines.py,689,704,strict_json_dump,False
python/ecsp_nsga2/baselines.py,517,538,component_record,False
python/ecsp_nsga2/baselines.py,690,701,clean,False
python/ecsp_nsga2/bc_native.py,34,49,available_cpu_budget,False
python/ecsp_nsga2/bc_native.py,52,54,_write,False
python/ecsp_nsga2/bc_native.py,57,62,_candidate_failure,False
python/ecsp_nsga2/bc_native.py,218,225,_cpu_init,False
python/ecsp_nsga2/bc_native.py,227,229,_cpu_job,False
python/ecsp_nsga2/bc_native.py,66,121,__init__,False
python/ecsp_nsga2/bc_native.py,123,127,_run_physics,False
